File;overlapping.F2_partial.majority;overlapping.F2_partial.minority;overlapping.F3_partial.majority;overlapping.F3_partial.minority;overlapping.F4_partial.majority;overlapping.F4_partial.minority;neighborhood.N1_partial.majority;neighborhood.N1_partial.minority;neighborhood.N2_partial.majority;neighborhood.N2_partial.minority;neighborhood.N3_partial.majority;neighborhood.N3_partial.minority;neighborhood.N4_partial.majority;neighborhood.N4_partial.minority;neighborhood.T1_partial.majority;neighborhood.T1_partial.minority;linearity.class.L1_partial.majority;linearity.class.L1_partial.minority;linearity.class.L2_partial.majority;linearity.class.L2_partial.minority;linearity.class.L3_partial.majority;linearity.class.L3_partial.minority
Australian.arff;0.97366464;0.00000000;0.98955614;0.92508143;0.98955614;0.92508143;0.22976501;0.31921824;0.37324868;0.41798322;0.13054830;0.23778502;0.13768116;0.20434783;0.39164491;0.46579805;0.16631363;0.05269382;0.20887728;0.05537459;0.23043478;0.07681159
CastMetal1.arff;6.991458e-06;3.177712e-01;7.228070e-01;9.761905e-01;7.228070e-01;9.761905e-01;1.894737e-01;9.523810e-01;3.938197e-01;5.589140e-01;1.192982e-01;7.380952e-01;6.422018e-02;2.415902e-01;4.526316e-01;1.000000e+00;0.000000e+00;4.598346e-01;0.000000e+00;9.047619e-01;0.000000e+00;9.174312e-01
CostaMadre1.arff;1.707201e-10;5.314808e-01;6.937984e-01;9.473684e-01;6.937984e-01;9.473684e-01;2.015504e-01;9.210526e-01;3.952773e-01;5.448337e-01;1.240310e-01;7.105263e-01;7.094595e-02;2.466216e-01;4.302326e-01;1.000000e+00;6.032935e-04;4.574611e-01;3.875969e-03;8.947368e-01;0.000000e+00;9.324324e-01
KungChi3.arff;1.779139e-05;6.352968e-02;5.514019e-01;8.750000e-01;5.514019e-01;8.750000e-01;7.500000e-01;1.495327e-01;3.524573e-01;5.379982e-01;5.607477e-02;6.875000e-01;4.878049e-02;3.089431e-01;2.990654e-01;1.000000e+00;1.869063e-02;2.763028e-01;1.869159e-02;2.500000e-01;1.626016e-02;2.764228e-01
KnuggetChase3.arff;0.001000279;0.074266873;0.879746835;0.916666667;0.879746835;0.916666667;0.861111111;0.240506329;0.385496936;0.551284779;0.107594937;0.777777778;0.041237113;0.257731959;0.379746835;1.000000000;0.010070753;0.373314421;0.018987342;0.611111111;0.015463918;0.685567010
